Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9188551.433,382803.3167,-0.35591,-0.34227,-0.35573,-0.2325,-0.33671,-0.34022,-0.22705,-0.34952,-0.33616,-0.2754,-0.30267,-0.28379,-0.27554,-0.28152,-0.25818,-0.10948,-0.32679,-0.29922,nan,nan,-0.29153,-0.29303,-0.24837,-0.25824,-0.31965,-0.28724,-0.28724,-0.29841,-0.29841,-0.27226,-0.31714,nan,nan,-0.27816,nan,-0.29029,-0.23491,-0.32742
1,9186448.552,389832.5575,-0.32353,-0.38891,-0.32827,-0.28008,-0.351,-0.32263,-0.34005,-0.41844,-0.42498,-0.36091,-0.34006,-0.32111,-0.38725,-0.32373,-0.20698,0.1496,-0.43532,-0.39022,-0.30469,nan,-0.42826,-0.41273,-0.37447,-0.38401,-0.47036,-0.31549,-0.30657,-0.34936,-0.34936,-0.33219,-0.30292,nan,nan,-0.32559,nan,-0.36053,-0.10247,-0.37424
1,9174595.51,381286.7479,-0.40696,-0.3377,-0.38232,-0.18864,-0.39044,-0.38408,-0.36822,-0.40034,-0.33174,-0.32512,-0.29992,-0.34327,nan,-0.26759,-0.30665,0.03835,-0.4169,-0.36105,-0.29326,-0.26535,-0.32343,-0.33052,-0.23701,-0.28033,-0.36969,-0.34248,-0.33688,-0.26804,-0.26804,-0.24249,-0.24671,-0.23576,nan,-0.30582,-0.26688,-0.26515,nan,-0.32363
1,9187855.774,386251.2524,-0.40124,-0.40066,nan,-0.29397,-0.2418,-0.39405,-0.31022,-0.34614,-0.35462,-0.30626,-0.33958,-0.36388,-0.40516,-0.41528,-0.35739,nan,-0.37139,-0.38749,nan,-0.36739,-0.35941,-0.37856,nan,-0.44554,-0.43926,-0.42115,-0.42115,-0.40933,-0.40933,nan,nan,nan,nan,-0.39078,nan,-0.31258,-0.33118,-0.33821
1,9169775.081,381938.1321,-0.30634,-0.27929,-0.28319,-0.22645,-0.25001,-0.32215,-0.28338,-0.34488,-0.30308,-0.3145,-0.30479,-0.31368,-0.19229,nan,-0.34147,-0.28852,-0.34998,-0.33198,-0.30736,-0.34534,-0.31264,-0.31713,-0.30405,-0.35614,-0.32936,-0.29965,-0.29965,-0.33283,-0.33283,-0.30725,-0.18949,-0.32625,-0.18115,-0.30362,nan,-0.29263,-0.25298,-0.32233
1,9171224.219,378865.0658,-0.36071,-0.39134,-0.36169,-0.35809,-0.3727,-0.35059,-0.32881,-0.36933,-0.28947,-0.36476,-0.3344,-0.34745,-0.31399,-0.38261,-0.28607,-0.38936,-0.42585,-0.37662,-0.3328,-0.37534,-0.35684,-0.37599,-0.33407,-0.3235,-0.39133,-0.41789,-0.40093,-0.429,-0.429,-0.38352,-0.38394,-0.40869,-0.39567,-0.41599,-0.08146,-0.3527,-0.35453,-0.39625
1,9189161.265,379995.6128,-0.28937,-0.29541,-0.3029,-0.16496,-0.22712,-0.26364,-0.26803,-0.28622,-0.25315,-0.28346,-0.2097,-0.27422,-0.18629,-0.26658,-0.27352,-0.25868,-0.26593,-0.25622,nan,-0.1883,-0.283,-0.26329,-0.22591,-0.26706,-0.29199,-0.31236,-0.30518,-0.26418,-0.26418,-0.25855,-0.32833,-0.14345,-0.14915,-0.27063,nan,-0.22186,-0.25631,-0.25355
1,9192021.975,376796.3608,-0.33265,-0.31236,-0.19374,-0.24413,-0.26569,-0.31141,-0.32355,-0.33385,-0.30669,-0.31113,-0.27718,-0.29579,-0.27984,-0.28592,nan,0.07982,-0.32232,-0.31467,nan,-0.28034,-0.32951,-0.32597,-0.34455,-0.33787,-0.32423,-0.33027,-0.33082,-0.34734,-0.34734,-0.24056,-0.27363,nan,-0.302,-0.31701,nan,-0.29789,-0.30583,-0.27046
1,9203806.712,380912.3507,-0.26621,-0.27714,-0.30267,nan,-0.21106,-0.42861,-0.33409,-0.18014,-0.2321,-0.3974,-0.32049,-0.09922,nan,-0.27202,-0.17602,0.2227,-0.23478,-0.36391,-0.31892,nan,-0.25967,-0.37059,nan,-0.12693,-0.17217,-0.37331,-0.37331,-0.25406,-0.25406,-0.36578,-0.27217,nan,-0.14704,-0.34476,nan,-0.11917,nan,-0.1971
1,9185032.028,375835.2868,-0.27536,-0.23786,-0.28824,-0.24095,-0.27172,-0.30549,-0.27866,-0.34391,-0.33689,-0.33601,-0.2604,-0.31356,-0.43409,-0.28163,nan,0.0637,-0.33885,-0.36004,-0.29241,-0.25474,-0.34513,-0.30904,-0.11896,-0.31285,-0.31957,-0.35593,-0.35593,-0.40103,-0.40103,-0.44251,-0.32694,-0.34628,-0.41292,-0.33113,nan,-0.33341,-0.46391,-0.27072
1,9161299.105,367364.6256,-0.35363,-0.38329,-0.39179,-0.35282,-0.38258,-0.39973,-0.36539,-0.35935,-0.36576,-0.39745,-0.35913,-0.39536,-0.23578,-0.37074,-0.35479,0.07656,-0.41992,-0.38174,nan,-0.37223,-0.40393,-0.37452,nan,-0.39775,-0.3844,-0.36323,-0.32487,-0.37984,-0.37984,-0.37567,-0.39142,-0.37832,-0.37954,-0.34855,-0.31929,-0.32489,-0.29549,-0.34616
1,9162372.628,367714.7235,-0.47646,-0.40968,-0.35339,-0.29956,-0.39154,-0.37862,-0.37144,-0.39062,-0.43411,-0.34187,-0.38322,-0.32856,-0.38325,-0.44903,-0.30502,0.15387,-0.48264,-0.46515,-0.42943,-0.48377,-0.42655,-0.42077,-0.47219,-0.39628,-0.48174,-0.41178,-0.41194,-0.48923,-0.48923,-0.44423,-0.48824,-0.47642,-0.48827,-0.52494,nan,-0.48216,-0.51915,-0.47619
1,9165607.154,393187.9387,-0.25842,-0.26395,-0.29368,-0.18854,-0.22945,-0.28635,-0.24318,-0.23384,-0.26118,-0.23887,-0.14119,-0.17705,-0.232,-0.31615,-0.25351,0.12515,-0.3125,-0.31094,-0.23495,-0.26635,-0.23428,-0.24871,-0.11816,-0.23557,-0.2736,-0.27788,-0.26318,-0.27926,-0.27926,-0.22581,-0.24961,-0.13466,-0.23754,-0.30127,nan,-0.25454,-0.13296,-0.22629
1,9163334.95,387787.107,-0.34461,-0.40155,-0.31007,-0.1042,-0.37382,-0.41168,-0.35608,-0.40339,-0.16909,-0.42373,-0.36311,-0.43593,-0.37496,-0.22917,nan,-0.10284,-0.4724,-0.44372,nan,-0.42491,-0.43304,-0.45549,nan,-0.3172,-0.4064,-0.404,-0.40688,-0.40972,-0.40972,-0.21469,nan,0.08815,-0.43067,-0.39599,-0.35318,-0.40169,nan,-0.43181
1,9175290.205,370495.1341,-0.28004,-0.29893,-0.15659,-0.23862,-0.27066,-0.31131,-0.28579,-0.33566,-0.30474,-0.28824,-0.2461,-0.28773,-0.24561,-0.28991,-0.16291,0.08323,-0.2963,-0.32863,-0.31376,-0.26462,-0.28365,-0.31998,nan,-0.33344,-0.35248,-0.27821,-0.2822,-0.29864,-0.29864,-0.28681,-0.29053,-0.30771,-0.35509,-0.28161,-0.33199,-0.31482,-0.34386,-0.33705
1,9193250.589,384074.2526,-0.259,-0.22897,-0.08026,-0.23222,nan,-0.19445,-0.19998,-0.22471,-0.22916,-0.16003,-0.1975,-0.20982,nan,nan,nan,nan,-0.21306,-0.21108,nan,nan,-0.13056,-0.19156,nan,-0.20518,-0.1552,-0.23755,-0.21881,-0.18618,-0.18618,nan,-0.27207,nan,nan,-0.16686,nan,-0.17144,nan,nan
